transcript_id,company_ticker,filing_date,filing_year,mean_evasion_score,evasion_variance,max_evasion_score,n_pairs,car_3day,car_direction,car_date_estimated,revenue_growth,gross_margin,operating_margin,roa,lm_positive,lm_negative,lm_uncertainty,lm_litigious,prepared_remarks_fallback
000162828021023214,AFIB,2021-11-12,2021,31.25,86.80555555555553,50.0,10,-0.2108518842975703,0,False,-2.293480569122956,,-5.88763312323408,-0.1444150660507334,0.017094017094017,0.0119658119658119,0.0048433048433048,0.0025641025641025,False
000101884019000013,ANF,2019-03-07,2019,38.06818181818182,144.17613636363637,56.25,11,-0.2835562118086869,0,False,34.186025448389096,0.5909101922634263,,0.0406339220478933,0.020327868852459,0.0102732240437158,0.0087431693989071,0.0024043715846994,False
000072695820000069,CASY,2020-06-10,2020,21.99074074074074,205.4398148148148,56.25,27,-0.0275118230148391,0,False,-19.362840817401317,0.2896325907408255,,0.0157435852705905,0.0171065493646138,0.0073313782991202,0.0083088954056695,0.002199413489736,False
000072695820000120,CASY,2020-09-14,2020,22.82608695652174,98.04224308300395,37.5,23,-0.0324375902970027,0,False,16.114553448843637,,,0.0294199087434401,0.0163518466309557,0.010431350436989,0.010431350436989,0.0019734987313222,False
000072695820000135,CASY,2020-12-10,2020,81.25,156.25,100.0,4,-0.0275630147953731,0,False,5.267595905218998,,,0.0258999997224578,0.0148998534440644,0.0058622374206155,0.0105031753786028,0.0021983390327308,False
000156459019003289,CBZ,2019-02-19,2019,19.53125,71.84709821428571,31.25,8,-0.0598537044292526,0,False,-11.249102560100605,0.086417147766841,0.0418343608527657,-0.0008224636547985,0.0200437317784256,0.0098396501457725,0.0145772594752186,0.0,False
000156459019014794,CBZ,2019-05-01,2019,18.75,182.29166666666663,43.75,7,0.0433943109358723,1,False,35.661707440848545,0.2018607545241076,0.1586011748235172,0.0272043005287809,0.0178762960314622,0.0067929924919556,0.0143010368251698,0.0007150518412584,False
000156459019028159,CBZ,2019-08-02,2019,22.65625,99.74888392857144,37.5,8,0.0729507655734628,1,False,-12.777872428684656,0.1586000730367137,0.1137334499656048,0.0120500565391093,0.0152855993563958,0.0064360418342719,0.0164923572003218,0.0,False
000156459019039301,CBZ,2019-11-01,2019,19.27083333333333,74.27793560606061,31.25,12,-0.0143202109778187,0,False,1.8225207857391568,0.1277951540931648,0.0791275699570457,0.0127453092666544,0.0197292069632495,0.0065764023210831,0.0127659574468085,0.0007736943907156,False
000156459020006236,CBZ,2020-02-25,2020,31.25,143.22916666666669,43.75,7,-0.0572755492157024,0,False,-15.285041077609575,0.0119721568588841,-0.0396676151187862,-0.0008231163628108,0.0242811501597444,0.0070287539936102,0.0159744408945686,0.0006389776357827,False
000119312519289172,DXC,2019-11-12,2019,39.42307692307692,275.9415064102564,68.75,13,-0.0179900918338506,0,False,-0.7975460122699387,,0.1090496804782519,-0.0717915706735329,0.0172688025448761,0.0102249488752556,0.0070438536696205,0.0027266530334014,False
000119312519129563,FCN,2019-04-30,2019,32.03125,440.1506696428572,62.5,8,0.0841910513173715,1,False,9.164681490634525,,0.1581101230966815,0.0254148138201087,0.0208110992529349,0.011205976520811,0.0077374599786552,0.0010672358591248,False
000119312519205560,FCN,2019-07-29,2019,27.08333333333333,166.66666666666669,43.75,6,-0.0122445548183343,0,False,9.948773205338906,,0.1453427462264011,0.0251220850576134,0.0245569620253164,0.0096202531645569,0.0065822784810126,0.0015189873417721,False
000119312519276266,FCN,2019-10-28,2019,28.47222222222222,137.80381944444446,43.75,9,0.0024165766061117,1,False,-2.146938142509969,,0.1384878925520901,0.0224594640907656,0.0171247357293868,0.0126849894291754,0.0093023255813953,0.00169133192389,False
000119312520050183,FCN,2020-02-26,2020,43.75,33.48214285714285,56.25,8,-0.1021633841351047,0,False,1.536318971650936,,0.0800374615172578,0.0104417956396044,0.0153343388637506,0.0135746606334841,0.0052790346907993,0.0015082956259426,False
000119312520132471,FCN,2020-05-04,2020,32.142857142857146,252.97619047619045,56.25,7,0.0699024698098158,1,False,0.3943754587209283,,0.1208350080136554,0.0215180527995613,0.0130115424973767,0.025813221406086,0.0100734522560335,0.0081846799580272,False
000119312520206640,FCN,2020-07-31,2020,27.84090909090909,221.5909090909091,50.0,11,-0.0626317895442495,0,False,0.539040313070115,,0.1079193619499483,0.0178098544608003,0.0132182852946576,0.0233155865614099,0.009730126675234,0.0040389205067009,False
000119312520284027,FCN,2020-11-02,2020,31.25,253.90625,43.75,5,0.0574012334991624,1,False,2.3685041753584755,,0.1174288749359179,0.0179544932396888,0.0141648270787343,0.0229948491537895,0.0103016924208977,0.0051508462104488,False
000119312521063655,FCN,2021-03-01,2021,41.66666666666666,478.515625,75.0,9,-0.0247175886607712,0,False,0.696184324924588,,0.1132144128213271,0.0200150286440771,0.0149328023892483,0.016674962667994,0.0077152812344449,0.0014932802389248,False
000119312521148110,FCN,2021-05-03,2021,30.681818181818183,237.9261363636364,56.25,11,0.0531217221536105,1,False,9.527259843499882,,0.1289654177540555,0.02321503131524,0.0152913261270761,0.0145003954653308,0.0079093066174532,0.0023727919852359,False
000119312521233379,FCN,2021-08-02,2021,38.020833333333336,266.03929924242425,68.75,12,-0.0210901548343459,0,False,3.673298099746895,,0.1180346486086866,0.0213658532269135,0.0141743444365698,0.0165367351759981,0.0070871722182849,0.0033073470351996,False
000119312521315535,FCN,2021-11-01,2021,30.357142857142858,148.80952380952382,43.75,7,0.0070334829713254,1,False,-1.30122026294263,,0.1260744373622242,0.0231066698060875,0.0161290322580645,0.0142154182613449,0.0046473482777474,0.0030071077091306,False
000119312522136919,FCN,2022-05-02,2022,31.25,234.375,50.0,5,-0.1716434390542445,0,False,3.0463040493970617,,0.1095561206157928,0.0201136476529443,0.0116686114352392,0.01073512252042,0.0091015169194865,0.0023337222870478,False
000119312522206637,FCN,2022-07-29,2022,43.75,195.3125,68.75,5,-0.1372681217341508,0,False,4.33542467040712,,0.0850803717125479,0.0171245831069057,0.0158767219238851,0.0105066542143357,0.0039691804809712,0.0025682932523931,False
000119312523050926,FCN,2023-02-27,2023,26.38888888888889,241.97048611111111,56.25,9,-0.1100540828081763,0,False,2.764665056053574,,0.1130480173741565,0.0250696442094238,0.0183362285273113,0.0115807759119861,0.0073344914109245,0.0011580775911986,False
000119312523130596,FCN,2023-05-01,2023,37.5,66.96428571428572,50.0,8,-0.0906530020243433,0,False,3.975047205377224,,0.0828083589312587,0.0153328799287193,0.0100902814657461,0.015400955921402,0.0103558151885289,0.0023898035050451,False
000119312523199197,FCN,2023-07-31,2023,38.19444444444444,268.01215277777777,62.5,9,0.2017765964343179,1,False,7.1754765676714936,,0.1026022709003448,0.0192202780325113,0.0124264224983649,0.0148245040331371,0.0052321778940483,0.0021800741225201,False
