,count,mean,std,min,25%,50%,75%,max
mean_evasion_score,155.0,28.88438550152276,8.081722484624214,15.104166666666666,23.020833333333336,27.77777777777778,33.14903846153846,81.25
evasion_variance,155.0,212.16367418853864,103.29176467277377,33.48214285714285,144.40230992965368,189.88715277777777,260.25390625,677.0833333333334
max_evasion_score,155.0,52.17741935483871,11.93090795897768,25.0,43.75,50.0,62.5,100.0
car_3day,155.0,0.004720365932985834,0.08469790243868439,-0.2835562118086869,-0.05268318209490995,0.0024165766061117,0.05965866287776815,0.2186092413141985
revenue_growth,152.0,4.837126346616423,23.954164670803433,-61.84322778140212,-3.8135691404252703,1.3247898724403986,9.686029071686814,168.05418557243374
gross_margin,109.0,0.28874838656861757,0.1647454086083722,0.0119721568588841,0.1983440250634044,0.2276773752602401,0.3519774011299435,0.8010326418420459
operating_margin,113.0,-1.9816912803066011,10.600614300545848,-64.16058394160584,0.0610553859572612,0.0850803717125479,0.1260744373622242,0.5316797826945491
roa,153.0,0.00952883163545035,0.05964844754007073,-0.4100590099493014,0.0056453727169448,0.0171315289975745,0.0272043005287809,0.1112726762201787
lm_positive,155.0,0.017335082031365107,0.005866527036959029,0.0,0.014277873608279701,0.0171065493646138,0.0206096312591205,0.0341776014647543
lm_negative,155.0,0.009283686466059702,0.005335262851496354,0.0,0.00571960117013175,0.0082466833990677,0.01112418967383305,0.0291970802919708
lm_uncertainty,155.0,0.009778178826242599,0.004022503550233981,0.0,0.007496440881162849,0.0094786729857819,0.011598385214621351,0.0215633423180593
lm_litigious,155.0,0.0020004537716329035,0.0014842461693631553,0.0,0.00094008924993025,0.0018254837531945,0.002659417727487,0.0081846799580272
