company_ticker,n_observations,pct_of_total
FCN,24,15.483870967741936
RGR,22,14.193548387096774
GEF,20,12.903225806451612
CBZ,14,9.032258064516128
PATK,11,7.096774193548387
LCII,6,3.870967741935484
TREX,6,3.870967741935484
SBFG,5,3.225806451612903
DIOD,4,2.5806451612903225
CASY,4,2.5806451612903225
OSPN,3,1.935483870967742
DY,3,1.935483870967742
TDW,3,1.935483870967742
STAA,3,1.935483870967742
ANF,3,1.935483870967742
GOVX,3,1.935483870967742
VISN,2,1.2903225806451613
WATT,2,1.2903225806451613
SWBI,2,1.2903225806451613
TALO,2,1.2903225806451613
RNST,2,1.2903225806451613
NBIX,1,0.6451612903225806
DXC,1,0.6451612903225806
FPI,1,0.6451612903225806
AFIB,1,0.6451612903225806
MYO,1,0.6451612903225806
MSTR,1,0.6451612903225806
MRAM,1,0.6451612903225806
ILMN,1,0.6451612903225806
LGMK,1,0.6451612903225806
SYRS,1,0.6451612903225806
SPXC,1,0.6451612903225806
