config,model_type,task,auroc,accuracy,precision,recall,f1,n_train,n_test
A,LogisticRegression,classification,0.48582230623818523,0.4782608695652174,0.4827586206896552,0.6086956521739131,0.5384615384615384,109,46
A,XGBoost,classification,0.5122873345935728,0.45652173913043476,0.47058823529411764,0.6956521739130435,0.5614035087719298,109,46
B,LogisticRegression,classification,0.6077504725897921,0.5652173913043478,0.5384615384615384,0.9130434782608695,0.6774193548387096,109,46
B,XGBoost,classification,0.4139886578449905,0.43478260869565216,0.4444444444444444,0.5217391304347826,0.48,109,46
C,LogisticRegression,classification,0.6417769376181475,0.5652173913043478,0.5384615384615384,0.9130434782608695,0.6774193548387096,109,46
C,XGBoost,classification,0.41965973534971646,0.43478260869565216,0.4482758620689655,0.5652173913043478,0.5,109,46
D,LogisticRegression,classification,0.6285444234404537,0.5652173913043478,0.5384615384615384,0.9130434782608695,0.6774193548387096,109,46
D,XGBoost,classification,0.38374291115311904,0.391304347826087,0.4074074074074074,0.4782608695652174,0.44,109,46
